date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Rapeseed_N0,Rapeseed_N1,Rapeseed_N2,Rapeseed_N3,Rapeseed_N4,Rapeseed_N5,Rapeseed_N6
1994-10-28,O,1994-10-28 04:45:00,1994-10-28 12:30:00,1994-10-28 12:29:00,1994-10-28 12:30:00,43,,199502,199505,199508,199511,199602,199605
1994-10-31,X,,,,,,,,,,,,
1994-11-01,X,,,,,,,,,,,,
1994-11-02,O,1994-11-02 04:45:00,1994-11-02 12:30:00,1994-11-02 12:29:00,1994-11-02 12:30:00,42,,199502,199505,199508,199511,199602,199605
1994-11-03,O,1994-11-03 04:45:00,1994-11-03 12:30:00,1994-11-03 12:29:00,1994-11-03 12:30:00,41,,199502,199505,199508,199511,199602,199605
1994-11-04,O,1994-11-04 04:45:00,1994-11-04 12:30:00,1994-11-04 12:29:00,1994-11-04 12:30:00,40,,199502,199505,199508,199511,199602,199605
1994-11-07,O,1994-11-07 04:45:00,1994-11-07 12:30:00,1994-11-07 12:29:00,1994-11-07 12:30:00,39,,199502,199505,199508,199511,199602,199605
1994-11-08,O,1994-11-08 04:45:00,1994-11-08 12:30:00,1994-11-08 12:29:00,1994-11-08 12:30:00,38,,199502,199505,199508,199511,199602,199605
1994-11-09,O,1994-11-09 04:45:00,1994-11-09 12:30:00,1994-11-09 12:29:00,1994-11-09 12:30:00,37,,199502,199505,199508,199511,199602,199605
1994-11-10,O,1994-11-10 04:45:00,1994-11-10 12:30:00,1994-11-10 12:29:00,1994-11-10 12:30:00,36,,199502,199505,199508,199511,199602,199605
1994-11-11,X,,,,,,,,,,,,
1994-11-14,O,1994-11-14 04:45:00,1994-11-14 12:30:00,1994-11-14 12:29:00,1994-11-14 12:30:00,35,,199502,199505,199508,199511,199602,199605
1994-11-15,O,1994-11-15 04:45:00,1994-11-15 12:30:00,1994-11-15 12:29:00,1994-11-15 12:30:00,34,,199502,199505,199508,199511,199602,199605
1994-11-16,O,1994-11-16 04:45:00,1994-11-16 12:30:00,1994-11-16 12:29:00,1994-11-16 12:30:00,33,,199502,199505,199508,199511,199602,199605
1994-11-17,O,1994-11-17 04:45:00,1994-11-17 12:30:00,1994-11-17 12:29:00,1994-11-17 12:30:00,32,,199502,199505,199508,199511,199602,199605
1994-11-18,O,1994-11-18 04:45:00,1994-11-18 12:30:00,1994-11-18 12:29:00,1994-11-18 12:30:00,31,,199502,199505,199508,199511,199602,199605
1994-11-21,O,1994-11-21 04:45:00,1994-11-21 12:30:00,1994-11-21 12:29:00,1994-11-21 12:30:00,30,,199502,199505,199508,199511,199602,199605
1994-11-22,O,1994-11-22 04:45:00,1994-11-22 12:30:00,1994-11-22 12:29:00,1994-11-22 12:30:00,29,,199502,199505,199508,199511,199602,199605
1994-11-23,O,1994-11-23 04:45:00,1994-11-23 12:30:00,1994-11-23 12:29:00,1994-11-23 12:30:00,28,,199502,199505,199508,199511,199602,199605
1994-11-24,O,1994-11-24 04:45:00,1994-11-24 12:30:00,1994-11-24 12:29:00,1994-11-24 12:30:00,27,,199502,199505,199508,199511,199602,199605
1994-11-25,O,1994-11-25 04:45:00,1994-11-25 12:30:00,1994-11-25 12:29:00,1994-11-25 12:30:00,26,,199502,199505,199508,199511,199602,199605
1994-11-28,O,1994-11-28 04:45:00,1994-11-28 12:30:00,1994-11-28 12:29:00,1994-11-28 12:30:00,25,,199502,199505,199508,199511,199602,199605
1994-11-29,O,1994-11-29 04:45:00,1994-11-29 12:30:00,1994-11-29 12:29:00,1994-11-29 12:30:00,24,,199502,199505,199508,199511,199602,199605
1994-11-30,O,1994-11-30 04:45:00,1994-11-30 12:30:00,1994-11-30 12:29:00,1994-11-30 12:30:00,23,,199502,199505,199508,199511,199602,199605
1994-12-01,O,1994-12-01 04:45:00,1994-12-01 12:30:00,1994-12-01 12:29:00,1994-12-01 12:30:00,22,,199502,199505,199508,199511,199602,199605
1994-12-02,O,1994-12-02 04:45:00,1994-12-02 12:30:00,1994-12-02 12:29:00,1994-12-02 12:30:00,21,,199502,199505,199508,199511,199602,199605
1994-12-05,O,1994-12-05 04:45:00,1994-12-05 12:30:00,1994-12-05 12:29:00,1994-12-05 12:30:00,20,,199502,199505,199508,199511,199602,199605
1994-12-06,O,1994-12-06 04:45:00,1994-12-06 12:30:00,1994-12-06 12:29:00,1994-12-06 12:30:00,19,,199502,199505,199508,199511,199602,199605
1994-12-07,O,1994-12-07 04:45:00,1994-12-07 12:30:00,1994-12-07 12:29:00,1994-12-07 12:30:00,18,,199502,199505,199508,199511,199602,199605
1994-12-08,O,1994-12-08 04:45:00,1994-12-08 12:30:00,1994-12-08 12:29:00,1994-12-08 12:30:00,17,,199502,199505,199508,199511,199602,199605
1994-12-09,O,1994-12-09 04:45:00,1994-12-09 12:30:00,1994-12-09 12:29:00,1994-12-09 12:30:00,16,,199502,199505,199508,199511,199602,199605
1994-12-12,O,1994-12-12 04:45:00,1994-12-12 12:30:00,1994-12-12 12:29:00,1994-12-12 12:30:00,15,,199502,199505,199508,199511,199602,199605
1994-12-13,O,1994-12-13 04:45:00,1994-12-13 12:30:00,1994-12-13 12:29:00,1994-12-13 12:30:00,14,,199502,199505,199508,199511,199602,199605
1994-12-14,O,1994-12-14 04:45:00,1994-12-14 12:30:00,1994-12-14 12:29:00,1994-12-14 12:30:00,13,,199502,199505,199508,199511,199602,199605
1994-12-15,O,1994-12-15 04:45:00,1994-12-15 12:30:00,1994-12-15 12:29:00,1994-12-15 12:30:00,12,,199502,199505,199508,199511,199602,199605
1994-12-16,O,1994-12-16 04:45:00,1994-12-16 12:30:00,1994-12-16 12:29:00,1994-12-16 12:30:00,11,,199502,199505,199508,199511,199602,199605
1994-12-19,O,1994-12-19 04:45:00,1994-12-19 12:30:00,1994-12-19 12:29:00,1994-12-19 12:30:00,10,,199502,199505,199508,199511,199602,199605
1994-12-20,O,1994-12-20 04:45:00,1994-12-20 12:30:00,1994-12-20 12:29:00,1994-12-20 12:30:00,9,,199502,199505,199508,199511,199602,199605
1994-12-21,O,1994-12-21 04:45:00,1994-12-21 12:30:00,1994-12-21 12:29:00,1994-12-21 12:30:00,8,,199502,199505,199508,199511,199602,199605
1994-12-22,O,1994-12-22 04:45:00,1994-12-22 12:30:00,1994-12-22 12:29:00,1994-12-22 12:30:00,7,,199502,199505,199508,199511,199602,199605
1994-12-23,O,1994-12-23 04:45:00,1994-12-23 12:30:00,1994-12-23 12:29:00,1994-12-23 12:30:00,6,,199502,199505,199508,199511,199602,199605
1994-12-26,O,1994-12-26 04:45:00,1994-12-26 12:30:00,1994-12-26 12:29:00,1994-12-26 12:30:00,5,,199502,199505,199508,199511,199602,199605
1994-12-27,O,1994-12-27 04:45:00,1994-12-27 12:30:00,1994-12-27 12:29:00,1994-12-27 12:30:00,4,,199502,199505,199508,199511,199602,199605
1994-12-28,O,1994-12-28 04:45:00,1994-12-28 12:30:00,1994-12-28 12:29:00,1994-12-28 12:30:00,3,,199502,199505,199508,199511,199602,199605
1994-12-29,O,1994-12-29 04:45:00,1994-12-29 12:30:00,1994-12-29 12:29:00,1994-12-29 12:30:00,2,,199502,199505,199508,199511,199602,199605
1994-12-30,O,1994-12-30 04:45:00,1994-12-30 12:30:00,1994-12-30 12:29:00,1994-12-30 12:30:00,1,,199502,199505,199508,199511,199602,199605
1995-01-02,X,,,,,,,,,,,,
1995-01-03,O,1995-01-03 04:45:00,1995-01-03 12:30:00,1995-01-03 12:29:00,1995-01-03 12:30:00,0,,199502,199505,199508,199511,199602,199605
1995-01-04,O,1995-01-04 04:45:00,1995-01-04 12:30:00,1995-01-04 12:29:00,1995-01-04 12:30:00,60,199502,199505,199508,199511,199602,199605,199608
1995-01-05,O,1995-01-05 04:45:00,1995-01-05 12:30:00,1995-01-05 12:29:00,1995-01-05 12:30:00,59,199502,199505,199508,199511,199602,199605,199608
1995-01-06,O,1995-01-06 04:45:00,1995-01-06 12:30:00,1995-01-06 12:29:00,1995-01-06 12:30:00,58,199502,199505,199508,199511,199602,199605,199608
1995-01-09,O,1995-01-09 04:45:00,1995-01-09 12:30:00,1995-01-09 12:29:00,1995-01-09 12:30:00,57,199502,199505,199508,199511,199602,199605,199608
1995-01-10,O,1995-01-10 04:45:00,1995-01-10 12:30:00,1995-01-10 12:29:00,1995-01-10 12:30:00,56,199502,199505,199508,199511,199602,199605,199608
1995-01-11,O,1995-01-11 04:45:00,1995-01-11 12:30:00,1995-01-11 12:29:00,1995-01-11 12:30:00,55,199502,199505,199508,199511,199602,199605,199608
1995-01-12,O,1995-01-12 04:45:00,1995-01-12 12:30:00,1995-01-12 12:29:00,1995-01-12 12:30:00,54,199502,199505,199508,199511,199602,199605,199608
1995-01-13,O,1995-01-13 04:45:00,1995-01-13 12:30:00,1995-01-13 12:29:00,1995-01-13 12:30:00,53,199502,199505,199508,199511,199602,199605,199608
1995-01-16,O,1995-01-16 04:45:00,1995-01-16 12:30:00,1995-01-16 12:29:00,1995-01-16 12:30:00,52,199502,199505,199508,199511,199602,199605,199608
1995-01-17,O,1995-01-17 04:45:00,1995-01-17 12:30:00,1995-01-17 12:29:00,1995-01-17 12:30:00,51,199502,199505,199508,199511,199602,199605,199608
1995-01-18,O,1995-01-18 04:45:00,1995-01-18 12:30:00,1995-01-18 12:29:00,1995-01-18 12:30:00,50,199502,199505,199508,199511,199602,199605,199608
1995-01-19,O,1995-01-19 04:45:00,1995-01-19 12:30:00,1995-01-19 12:29:00,1995-01-19 12:30:00,49,199502,199505,199508,199511,199602,199605,199608
1995-01-20,O,1995-01-20 04:45:00,1995-01-20 12:30:00,1995-01-20 12:29:00,1995-01-20 12:30:00,48,199502,199505,199508,199511,199602,199605,199608
1995-01-23,O,1995-01-23 04:45:00,1995-01-23 12:30:00,1995-01-23 12:29:00,1995-01-23 12:30:00,47,199502,199505,199508,199511,199602,199605,199608
1995-01-24,O,1995-01-24 04:45:00,1995-01-24 12:30:00,1995-01-24 12:29:00,1995-01-24 12:30:00,46,199502,199505,199508,199511,199602,199605,199608
1995-01-25,O,1995-01-25 04:45:00,1995-01-25 12:30:00,1995-01-25 12:29:00,1995-01-25 12:30:00,45,199502,199505,199508,199511,199602,199605,199608
1995-01-26,O,1995-01-26 04:45:00,1995-01-26 12:30:00,1995-01-26 12:29:00,1995-01-26 12:30:00,44,199502,199505,199508,199511,199602,199605,199608
1995-01-27,O,1995-01-27 04:45:00,1995-01-27 12:30:00,1995-01-27 12:29:00,1995-01-27 12:30:00,43,199502,199505,199508,199511,199602,199605,199608
1995-01-30,O,1995-01-30 04:45:00,1995-01-30 12:30:00,1995-01-30 12:29:00,1995-01-30 12:30:00,42,199502,199505,199508,199511,199602,199605,199608
1995-01-31,O,1995-01-31 04:45:00,1995-01-31 12:30:00,1995-01-31 12:29:00,1995-01-31 12:30:00,41,199502,199505,199508,199511,199602,199605,199608
1995-02-01,O,1995-02-01 04:45:00,1995-02-01 12:30:00,1995-02-01 12:29:00,1995-02-01 12:30:00,40,,199505,199508,199511,199602,199605,199608
1995-02-02,O,1995-02-02 04:45:00,1995-02-02 12:30:00,1995-02-02 12:29:00,1995-02-02 12:30:00,39,,199505,199508,199511,199602,199605,199608
1995-02-03,O,1995-02-03 04:45:00,1995-02-03 12:30:00,1995-02-03 12:29:00,1995-02-03 12:30:00,38,,199505,199508,199511,199602,199605,199608
1995-02-06,O,1995-02-06 04:45:00,1995-02-06 12:30:00,1995-02-06 12:29:00,1995-02-06 12:30:00,37,,199505,199508,199511,199602,199605,199608
1995-02-07,O,1995-02-07 04:45:00,1995-02-07 12:30:00,1995-02-07 12:29:00,1995-02-07 12:30:00,36,,199505,199508,199511,199602,199605,199608
1995-02-08,O,1995-02-08 04:45:00,1995-02-08 12:30:00,1995-02-08 12:29:00,1995-02-08 12:30:00,35,,199505,199508,199511,199602,199605,199608
1995-02-09,O,1995-02-09 04:45:00,1995-02-09 12:30:00,1995-02-09 12:29:00,1995-02-09 12:30:00,34,,199505,199508,199511,199602,199605,199608
1995-02-10,O,1995-02-10 04:45:00,1995-02-10 12:30:00,1995-02-10 12:29:00,1995-02-10 12:30:00,33,,199505,199508,199511,199602,199605,199608
1995-02-13,O,1995-02-13 04:45:00,1995-02-13 12:30:00,1995-02-13 12:29:00,1995-02-13 12:30:00,32,,199505,199508,199511,199602,199605,199608
1995-02-14,O,1995-02-14 04:45:00,1995-02-14 12:30:00,1995-02-14 12:29:00,1995-02-14 12:30:00,31,,199505,199508,199511,199602,199605,199608
1995-02-15,O,1995-02-15 04:45:00,1995-02-15 12:30:00,1995-02-15 12:29:00,1995-02-15 12:30:00,30,,199505,199508,199511,199602,199605,199608
1995-02-16,O,1995-02-16 04:45:00,1995-02-16 12:30:00,1995-02-16 12:29:00,1995-02-16 12:30:00,29,,199505,199508,199511,199602,199605,199608
1995-02-17,O,1995-02-17 04:45:00,1995-02-17 12:30:00,1995-02-17 12:29:00,1995-02-17 12:30:00,28,,199505,199508,199511,199602,199605,199608
1995-02-20,O,1995-02-20 04:45:00,1995-02-20 12:30:00,1995-02-20 12:29:00,1995-02-20 12:30:00,27,,199505,199508,199511,199602,199605,199608
1995-02-21,O,1995-02-21 04:45:00,1995-02-21 12:30:00,1995-02-21 12:29:00,1995-02-21 12:30:00,26,,199505,199508,199511,199602,199605,199608
1995-02-22,O,1995-02-22 04:45:00,1995-02-22 12:30:00,1995-02-22 12:29:00,1995-02-22 12:30:00,25,,199505,199508,199511,199602,199605,199608
1995-02-23,O,1995-02-23 04:45:00,1995-02-23 12:30:00,1995-02-23 12:29:00,1995-02-23 12:30:00,24,,199505,199508,199511,199602,199605,199608
1995-02-24,O,1995-02-24 04:45:00,1995-02-24 12:30:00,1995-02-24 12:29:00,1995-02-24 12:30:00,23,,199505,199508,199511,199602,199605,199608
1995-02-27,O,1995-02-27 04:45:00,1995-02-27 12:30:00,1995-02-27 12:29:00,1995-02-27 12:30:00,22,,199505,199508,199511,199602,199605,199608
1995-02-28,O,1995-02-28 04:45:00,1995-02-28 12:30:00,1995-02-28 12:29:00,1995-02-28 12:30:00,21,,199505,199508,199511,199602,199605,199608
1995-03-01,O,1995-03-01 04:45:00,1995-03-01 12:30:00,1995-03-01 12:29:00,1995-03-01 12:30:00,20,,199505,199508,199511,199602,199605,199608
1995-03-02,O,1995-03-02 04:45:00,1995-03-02 12:30:00,1995-03-02 12:29:00,1995-03-02 12:30:00,19,,199505,199508,199511,199602,199605,199608
1995-03-03,O,1995-03-03 04:45:00,1995-03-03 12:30:00,1995-03-03 12:29:00,1995-03-03 12:30:00,18,,199505,199508,199511,199602,199605,199608
1995-03-06,O,1995-03-06 04:45:00,1995-03-06 12:30:00,1995-03-06 12:29:00,1995-03-06 12:30:00,17,,199505,199508,199511,199602,199605,199608
1995-03-07,O,1995-03-07 04:45:00,1995-03-07 12:30:00,1995-03-07 12:29:00,1995-03-07 12:30:00,16,,199505,199508,199511,199602,199605,199608
1995-03-08,O,1995-03-08 04:45:00,1995-03-08 12:30:00,1995-03-08 12:29:00,1995-03-08 12:30:00,15,,199505,199508,199511,199602,199605,199608
1995-03-09,O,1995-03-09 04:45:00,1995-03-09 12:30:00,1995-03-09 12:29:00,1995-03-09 12:30:00,14,,199505,199508,199511,199602,199605,199608
1995-03-10,O,1995-03-10 04:45:00,1995-03-10 12:30:00,1995-03-10 12:29:00,1995-03-10 12:30:00,13,,199505,199508,199511,199602,199605,199608
1995-03-13,O,1995-03-13 04:45:00,1995-03-13 12:30:00,1995-03-13 12:29:00,1995-03-13 12:30:00,12,,199505,199508,199511,199602,199605,199608
1995-03-14,O,1995-03-14 04:45:00,1995-03-14 12:30:00,1995-03-14 12:29:00,1995-03-14 12:30:00,11,,199505,199508,199511,199602,199605,199608
1995-03-15,O,1995-03-15 04:45:00,1995-03-15 12:30:00,1995-03-15 12:29:00,1995-03-15 12:30:00,10,,199505,199508,199511,199602,199605,199608
1995-03-16,O,1995-03-16 04:45:00,1995-03-16 12:30:00,1995-03-16 12:29:00,1995-03-16 12:30:00,9,,199505,199508,199511,199602,199605,199608
1995-03-17,O,1995-03-17 04:45:00,1995-03-17 12:30:00,1995-03-17 12:29:00,1995-03-17 12:30:00,8,,199505,199508,199511,199602,199605,199608
1995-03-20,O,1995-03-20 04:45:00,1995-03-20 12:30:00,1995-03-20 12:29:00,1995-03-20 12:30:00,7,,199505,199508,199511,199602,199605,199608
1995-03-21,O,1995-03-21 04:45:00,1995-03-21 12:30:00,1995-03-21 12:29:00,1995-03-21 12:30:00,6,,199505,199508,199511,199602,199605,199608
1995-03-22,O,1995-03-22 04:45:00,1995-03-22 12:30:00,1995-03-22 12:29:00,1995-03-22 12:30:00,5,,199505,199508,199511,199602,199605,199608
1995-03-23,O,1995-03-23 04:45:00,1995-03-23 12:30:00,1995-03-23 12:29:00,1995-03-23 12:30:00,4,,199505,199508,199511,199602,199605,199608
1995-03-24,O,1995-03-24 04:45:00,1995-03-24 12:30:00,1995-03-24 12:29:00,1995-03-24 12:30:00,3,,199505,199508,199511,199602,199605,199608
1995-03-27,O,1995-03-27 03:45:00,1995-03-27 11:30:00,1995-03-27 11:29:00,1995-03-27 11:30:00,2,,199505,199508,199511,199602,199605,199608
1995-03-28,O,1995-03-28 03:45:00,1995-03-28 11:30:00,1995-03-28 11:29:00,1995-03-28 11:30:00,1,,199505,199508,199511,199602,199605,199608
1995-03-29,O,1995-03-29 03:45:00,1995-03-29 11:30:00,1995-03-29 11:29:00,1995-03-29 11:30:00,0,,199505,199508,199511,199602,199605,199608
1995-03-30,O,1995-03-30 03:45:00,1995-03-30 11:30:00,1995-03-30 11:29:00,1995-03-30 11:30:00,60,199505,199508,199511,199602,199605,199608,199611
1995-03-31,O,1995-03-31 03:45:00,1995-03-31 11:30:00,1995-03-31 11:29:00,1995-03-31 11:30:00,59,199505,199508,199511,199602,199605,199608,199611
1995-04-03,O,1995-04-03 04:45:00,1995-04-03 12:30:00,1995-04-03 12:29:00,1995-04-03 12:30:00,58,199505,199508,199511,199602,199605,199608,199611
1995-04-04,O,1995-04-04 04:45:00,1995-04-04 12:30:00,1995-04-04 12:29:00,1995-04-04 12:30:00,57,199505,199508,199511,199602,199605,199608,199611
1995-04-05,O,1995-04-05 04:45:00,1995-04-05 12:30:00,1995-04-05 12:29:00,1995-04-05 12:30:00,56,199505,199508,199511,199602,199605,199608,199611
1995-04-06,O,1995-04-06 04:45:00,1995-04-06 12:30:00,1995-04-06 12:29:00,1995-04-06 12:30:00,55,199505,199508,199511,199602,199605,199608,199611
1995-04-07,O,1995-04-07 04:45:00,1995-04-07 12:30:00,1995-04-07 12:29:00,1995-04-07 12:30:00,54,199505,199508,199511,199602,199605,199608,199611
1995-04-10,O,1995-04-10 04:45:00,1995-04-10 12:30:00,1995-04-10 12:29:00,1995-04-10 12:30:00,53,199505,199508,199511,199602,199605,199608,199611
1995-04-11,O,1995-04-11 04:45:00,1995-04-11 12:30:00,1995-04-11 12:29:00,1995-04-11 12:30:00,52,199505,199508,199511,199602,199605,199608,199611
1995-04-12,O,1995-04-12 04:45:00,1995-04-12 12:30:00,1995-04-12 12:29:00,1995-04-12 12:30:00,51,199505,199508,199511,199602,199605,199608,199611
1995-04-13,O,1995-04-13 04:45:00,1995-04-13 12:30:00,1995-04-13 12:29:00,1995-04-13 12:30:00,50,199505,199508,199511,199602,199605,199608,199611
1995-04-14,X,,,,,,,,,,,,
1995-04-17,X,,,,,,,,,,,,
1995-04-18,O,1995-04-18 04:45:00,1995-04-18 12:30:00,1995-04-18 12:29:00,1995-04-18 12:30:00,49,199505,199508,199511,199602,199605,199608,199611
1995-04-19,O,1995-04-19 04:45:00,1995-04-19 12:30:00,1995-04-19 12:29:00,1995-04-19 12:30:00,48,199505,199508,199511,199602,199605,199608,199611
1995-04-20,O,1995-04-20 04:45:00,1995-04-20 12:30:00,1995-04-20 12:29:00,1995-04-20 12:30:00,47,199505,199508,199511,199602,199605,199608,199611
1995-04-21,O,1995-04-21 04:45:00,1995-04-21 12:30:00,1995-04-21 12:29:00,1995-04-21 12:30:00,46,199505,199508,199511,199602,199605,199608,199611
1995-04-24,O,1995-04-24 04:45:00,1995-04-24 12:30:00,1995-04-24 12:29:00,1995-04-24 12:30:00,45,199505,199508,199511,199602,199605,199608,199611
1995-04-25,O,1995-04-25 04:45:00,1995-04-25 12:30:00,1995-04-25 12:29:00,1995-04-25 12:30:00,44,199505,199508,199511,199602,199605,199608,199611
1995-04-26,O,1995-04-26 04:45:00,1995-04-26 12:30:00,1995-04-26 12:29:00,1995-04-26 12:30:00,43,199505,199508,199511,199602,199605,199608,199611
1995-04-27,O,1995-04-27 04:45:00,1995-04-27 12:30:00,1995-04-27 12:29:00,1995-04-27 12:30:00,42,199505,199508,199511,199602,199605,199608,199611
1995-04-28,O,1995-04-28 04:45:00,1995-04-28 12:30:00,1995-04-28 12:29:00,1995-04-28 12:30:00,41,199505,199508,199511,199602,199605,199608,199611
1995-05-01,X,,,,,,,,,,,,
1995-05-02,O,1995-05-02 04:45:00,1995-05-02 12:30:00,1995-05-02 12:29:00,1995-05-02 12:30:00,40,,199508,199511,199602,199605,199608,199611
1995-05-03,O,1995-05-03 04:45:00,1995-05-03 12:30:00,1995-05-03 12:29:00,1995-05-03 12:30:00,39,,199508,199511,199602,199605,199608,199611
1995-05-04,O,1995-05-04 04:45:00,1995-05-04 12:30:00,1995-05-04 12:29:00,1995-05-04 12:30:00,38,,199508,199511,199602,199605,199608,199611
1995-05-05,O,1995-05-05 04:45:00,1995-05-05 12:30:00,1995-05-05 12:29:00,1995-05-05 12:30:00,37,,199508,199511,199602,199605,199608,199611
1995-05-08,X,,,,,,,,,,,,
1995-05-09,O,1995-05-09 04:45:00,1995-05-09 12:30:00,1995-05-09 12:29:00,1995-05-09 12:30:00,36,,199508,199511,199602,199605,199608,199611
1995-05-10,O,1995-05-10 04:45:00,1995-05-10 12:30:00,1995-05-10 12:29:00,1995-05-10 12:30:00,35,,199508,199511,199602,199605,199608,199611
1995-05-11,O,1995-05-11 04:45:00,1995-05-11 12:30:00,1995-05-11 12:29:00,1995-05-11 12:30:00,34,,199508,199511,199602,199605,199608,199611
1995-05-12,O,1995-05-12 04:45:00,1995-05-12 12:30:00,1995-05-12 12:29:00,1995-05-12 12:30:00,33,,199508,199511,199602,199605,199608,199611
1995-05-15,O,1995-05-15 04:45:00,1995-05-15 12:30:00,1995-05-15 12:29:00,1995-05-15 12:30:00,32,,199508,199511,199602,199605,199608,199611
1995-05-16,O,1995-05-16 04:45:00,1995-05-16 12:30:00,1995-05-16 12:29:00,1995-05-16 12:30:00,31,,199508,199511,199602,199605,199608,199611
1995-05-17,O,1995-05-17 04:45:00,1995-05-17 12:30:00,1995-05-17 12:29:00,1995-05-17 12:30:00,30,,199508,199511,199602,199605,199608,199611
1995-05-18,O,1995-05-18 04:45:00,1995-05-18 12:30:00,1995-05-18 12:29:00,1995-05-18 12:30:00,29,,199508,199511,199602,199605,199608,199611
1995-05-19,O,1995-05-19 04:45:00,1995-05-19 12:30:00,1995-05-19 12:29:00,1995-05-19 12:30:00,28,,199508,199511,199602,199605,199608,199611
1995-05-22,O,1995-05-22 04:45:00,1995-05-22 12:30:00,1995-05-22 12:29:00,1995-05-22 12:30:00,27,,199508,199511,199602,199605,199608,199611
1995-05-23,O,1995-05-23 04:45:00,1995-05-23 12:30:00,1995-05-23 12:29:00,1995-05-23 12:30:00,26,,199508,199511,199602,199605,199608,199611
1995-05-24,O,1995-05-24 04:45:00,1995-05-24 12:30:00,1995-05-24 12:29:00,1995-05-24 12:30:00,25,,199508,199511,199602,199605,199608,199611
1995-05-25,X,,,,,,,,,,,,
1995-05-26,O,1995-05-26 04:45:00,1995-05-26 12:30:00,1995-05-26 12:29:00,1995-05-26 12:30:00,24,,199508,199511,199602,199605,199608,199611
1995-05-29,O,1995-05-29 04:45:00,1995-05-29 12:30:00,1995-05-29 12:29:00,1995-05-29 12:30:00,23,,199508,199511,199602,199605,199608,199611
1995-05-30,O,1995-05-30 04:45:00,1995-05-30 12:30:00,1995-05-30 12:29:00,1995-05-30 12:30:00,22,,199508,199511,199602,199605,199608,199611
1995-05-31,O,1995-05-31 04:45:00,1995-05-31 12:30:00,1995-05-31 12:29:00,1995-05-31 12:30:00,21,,199508,199511,199602,199605,199608,199611
1995-06-01,O,1995-06-01 04:45:00,1995-06-01 12:30:00,1995-06-01 12:29:00,1995-06-01 12:30:00,20,,199508,199511,199602,199605,199608,199611
1995-06-02,O,1995-06-02 04:45:00,1995-06-02 12:30:00,1995-06-02 12:29:00,1995-06-02 12:30:00,19,,199508,199511,199602,199605,199608,199611
1995-06-05,X,,,,,,,,,,,,
1995-06-06,O,1995-06-06 04:45:00,1995-06-06 12:30:00,1995-06-06 12:29:00,1995-06-06 12:30:00,18,,199508,199511,199602,199605,199608,199611
